GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
snack-project,com.jefte.entities,Passageiro,148,0,22,0,37,0,16,0,5,0
snack-project,com.jefte.repositories,PassageiroRepository,102,0,8,0,16,0,15,0,11,0
snack-project,com.jefte,Main,229,0,8,0,73,0,18,0,12,0
snack-project,com.jefte.facade,PassageiroFacade,36,0,0,0,12,0,7,0,7,0
snack-project,com.jefte.applications,PassageiroApplication,37,0,0,0,12,0,7,0,7,0
